avg_num_tags,views,video_id
7,19274937,wL_NxuEG0m4
2,19202160,jjXZJZ4F8Ak
30,19156088,zuoSn3ObMz4
18,19150038,dClrKg0TxSc
10,19108085,Dgh2y5C_Xf0
36,19102181,iFPkd-7AcDM
49,19050027,yxfCbV21ck8
27,19019288,zkvIzKwzYNc
9,18980717,vX9msKu75qs
28,18976902,15_mIB2I02E
17,18947610,2fDzCWNS3ig
24,18933226,_NGQfFCFUn4
10,18888186,lNRB7OCo8Wo
6,18872820,LWeiydKl0mU
9,18868265,XVENjm3Bjk0
23,18824236,KX06ksuS6Xo
18.166666666666668,18773809,G2bx3FzgJ6o
25,18741208,vM-Bja2Gy04
24,18728334,Q88P1gpOJxA
22,18711838,TYaDEE6KPZs
50,18681816,dFlDRhvM4L0
16,18651241,rhTl_OyehF8
41,18579725,80WvAnsHOdM
42,18534845,JSAfPh1A25E
2,18527946,bzSAjQZXDOE
31,18523523,Xmxcnf2v_gs
19,18472322,5UMCrq-bBCg
17,18410971,0IOsk2Vlc4o
29,18408097,U6ClQ5ileBs
27,18366233,CTmKrwFu7wg
29,18351917,60g72d4Nqss
29,18292211,UB4FzllQCyc
22,18262744,M7xQEdKHtv0
24,18230651,BoWyTKiS6TM
51,18212753,MXFkjMNXfpY
5,18208396,5RBASmjDpqE
30,18196612,uBY1AoiF5Vo
18,18193138,9sJ_I1lHpps
22,18176423,0ir1qkPXPVM
8,18162257,5GJWxDKyk3A
52,18072967,nlnMDttgTbk
4,18048651,bTtNV6hgDno
33,18024646,XxlsLmHwCSk
7,18017191,H1aZ-myEqyc
15,18002795,0xSFPome3Tc
25,17992692,CWCMGIG1Y54
6,17989395,58hoktsqk_Q
42,17964006,rZYxzen9uEA
26,17883340,ZjLU7eZZeQg
15,17839207,Z37_jKEtRwY
21,17827533,irsLfoFb-W0
17,17808881,r-vQJJzhW_U
21,17739942,nxs0RHpT_Hg
32,17732285,yQEondeGvKo
34,17691627,u3FuK5X_dRU
